"Crash Year","Crash Month","Dry","Wet","Ice","Snow","Mud, Dirt, Gravel","Slush","Debris","Water (standing/moving)","Sand","Oily","Other","Unknown","Uncoded & Errors","Total"
"2016","January","3,205","1,756","1,271","1,496","6","218","1","0","0","0","47","3","0","8,003"
"2016","February","3,882","1,307","855","1,329","3","196","2","1","0","0","61","5","2","7,643"
"2016","March","4,755","1,554","374","776","8","100","0","1","0","0","55","0","1","7,624"
"2016","April","5,469","1,325","222","155","5","30","3","1","0","0","37","16","1","7,264"
"2016","May","7,471","923","1","3","22","1","6","2","3","2","37","36","2","8,509"
"2016","June","8,184","498","0","0","21","0","1","0","1","3","35","34","1","8,778"
"2016","July","8,033","615","2","3","32","0","3","3","1","0","22","21","1","8,736"
"2016","August","8,121","961","2","1","34","0","0","3","0","0","19","33","0","9,174"
"2016","September","7,428","1,659","2","2","33","1","1","8","0","3","6","62","1","9,206"
"2016","October","7,553","1,628","2","5","42","4","0","1","0","0","3","58","18","9,314"
"2016","November","6,604","1,987","36","49","24","14","2","4","1","0","6","74","4","8,805"
"2016","December","4,071","2,285","1,758","2,651","19","381","2","1","1","0","4","89","1","11,263"
"2017","January","2,937","2,588","1,373","1,386","12","183","0","5","0","1","10","84","1","8,580"
"2017","February","4,866","1,259","443","405","11","42","2","3","0","1","3","62","0","7,097"
"2017","March","5,579","1,752","449","854","21","113","0","1","0","0","4","60","0","8,833"
"2017","April","5,645","1,387","8","15","18","8","0","5","1","1","1","53","0","7,142"
"2017","May","6,989","1,484","1","2","16","1","0","5","1","1","0","59","1","8,560"
"2017","June","7,933","674","2","0","40","1","2","1","1","1","0","54","2","8,711"
"2017","July","7,290","511","1","1","48","0","2","2","0","0","1","46","0","7,902"
"2017","August","7,102","1,004","2","1","38","1","1","4","1","0","3","55","2","8,214"
"2017","September","7,590","648","5","2","40","0","1","1","3","1","2","45","2","8,340"
"2017","October","6,356","2,770","10","7","30","0","0","4","2","0","2","50","0","9,231"
"2017","November","5,879","2,053","130","109","28","13","0","7","1","2","2","47","0","8,271"
"2017","December","3,545","1,492","1,812","3,985","13","395","1","0","0","2","5","61","2","11,313"
"2018","January","3,067","2,046","1,888","2,163","8","276","1","1","0","1","5","65","0","9,521"
"2018","February","3,138","1,727","569","2,122","10","212","0","3","1","1","4","59","0","7,846"
"2018","March","5,349","1,106","327","517","11","84","1","2","1","0","1","55","0","7,454"
"2018","April","5,259","1,181","430","159","16","39","1","2","0","1","0","44","1","7,133"
"2018","May","6,983","1,175","1","0","28","0","0","4","1","1","4","64","1","8,262"
"2018","June","7,343","730","0","2","26","1","1","2","2","2","2","53","0","8,164"
"2018","July","7,304","518","2","0","35","0","0","0","1","3","2","44","0","7,909"
"2018","August","7,003","897","2","5","28","0","0","1","0","1","2","41","0","7,980"
"2018","September","6,715","1,168","2","1","34","0","2","3","3","3","4","51","4","7,990"
"2018","October","6,466","2,290","8","5","32","3","2","0","1","3","1","73","2","8,886"
"2018","November","4,469","2,525","697","669","20","91","1","0","0","0","4","69","0","8,545"
"2018","December","4,805","2,091","488","330","19","28","0","1","0","0","6","66","2","7,836"
"2019","January","3,248","1,268","2,100","2,439","6","192","1","0","0","2","5","52","0","9,313"
"2019","February","2,637","1,618","1,444","1,894","5","233","2","2","0","0","2","58","0","7,895"
"2019","March","4,917","1,270","331","417","16","39","0","1","0","0","2","49","0","7,042"
"2019","April","5,174","1,279","32","44","19","24","1","0","0","0","2","52","0","6,627"
"2019","May","6,145","1,393","1","2","26","0","2","2","3","1","0","58","0","7,633"
"2019","June","6,577","1,161","0","1","27","0","2","2","0","2","1","59","0","7,832"
"2019","July","7,035","613","0","5","37","0","1","2","2","2","1","45","0","7,743"
"2019","August","7,251","501","1","3","42","0","1","1","2","1","1","42","0","7,846"
"2019","September","6,575","1,279","1","0","25","0","3","7","0","1","4","64","0","7,959"
"2019","October","6,005","2,827","6","9","25","2","1","4","0","1","1","61","0","8,942"
"2019","November","4,722","1,575","753","1,353","14","149","0","0","0","1","1","75","0","8,643"
"2019","December","5,064","1,382","537","707","10","73","0","0","0","1","2","73","0","7,849"
"2020","January","3,716","1,924","820","776","10","125","0","3","0","0","3","57","0","7,434"
"2020","February","4,000","983","791","1,869","9","153","0","0","0","0","5","68","0","7,878"
"2020","March","3,495","681","16","34","11","5","1","0","1","0","0","26","0","4,270"
"2020","April","2,040","466","19","8","13","0","0","0","1","0","1","30","0","2,578"
"2020","May","3,796","630","2","0","14","0","1","1","1","0","0","35","0","4,480"
"2020","June","6,133","292","0","0","29","1","1","1","0","1","3","32","0","6,493"
"2020","July","6,788","362","1","2","29","1","2","1","0","2","0","46","0","7,234"
"2020","August","6,703","475","1","3","29","0","0","4","1","1","2","56","0","7,275"
"2020","September","6,247","780","2","3","30","0","0","1","1","1","1","39","0","7,105"
"2020","October","5,640","1,443","8","8","20","5","0","0","0","0","0","44","0","7,168"
"2020","November","4,609","902","43","102","19","23","1","0","0","0","2","46","0","5,747"
"2020","December","3,673","1,041","588","667","16","68","1","0","0","0","5","43","0","6,102"
"Total Crash Count","","336,578","77,719","20,672","29,556","1,312","3,529","60","114","39","51","444","3,001","52","473,127"
