"Crash Year","Crash Month","Dry","Wet","Ice","Snow","Mud, Dirt, Gravel","Slush","Water (standing/moving)","Sand","Oily","Unknown","Total"
"2016","January","1","3","0","1","0","0","0","0","0","0","5"
"2016","February","3","0","1","2","0","0","0","1","0","0","7"
"2016","March","1","1","0","0","0","0","0","0","0","0","2"
"2016","April","6","4","0","0","0","0","0","0","0","0","10"
"2016","May","20","2","0","0","0","0","0","0","0","0","22"
"2016","June","22","2","0","0","0","0","0","0","0","0","24"
"2016","July","23","2","0","0","0","0","0","0","0","0","25"
"2016","August","37","4","0","0","0","0","0","0","0","0","41"
"2016","September","72","14","0","0","0","0","0","0","0","1","87"
"2016","October","62","16","0","0","1","0","0","0","0","3","82"
"2016","November","65","18","0","1","0","0","0","0","0","0","84"
"2016","December","50","23","8","16","1","2","0","0","0","0","100"
"2017","January","26","30","8","11","0","2","0","0","0","2","79"
"2017","February","82","12","4","5","0","0","0","0","0","0","103"
"2017","March","70","11","2","8","0","1","0","0","0","0","92"
"2017","April","99","28","0","0","1","0","0","0","1","2","131"
"2017","May","101","23","0","0","0","0","0","0","0","1","125"
"2017","June","133","11","0","0","0","0","0","0","0","1","145"
"2017","July","120","11","0","0","0","0","0","1","0","3","135"
"2017","August","127","23","0","0","0","0","0","0","0","0","150"
"2017","September","104","9","0","0","0","0","0","0","0","2","115"
"2017","October","105","46","1","0","0","0","0","0","0","2","154"
"2017","November","86","31","3","2","0","0","0","0","0","0","122"
"2017","December","67","17","19","47","0","3","0","0","1","5","159"
"2018","January","63","31","23","20","0","3","0","0","0","1","141"
"2018","February","43","18","9","29","0","3","0","0","0","1","103"
"2018","March","68","17","6","8","0","1","0","0","0","0","100"
"2018","April","86","20","6","4","1","1","0","0","0","0","118"
"2018","May","125","13","0","0","0","0","0","0","0","1","139"
"2018","June","120","16","0","0","1","0","0","0","0","2","139"
"2018","July","111","8","0","0","0","0","0","0","0","2","121"
"2018","August","92","11","0","0","0","0","0","0","1","0","104"
"2018","September","98","14","0","0","0","0","0","0","0","1","113"
"2018","October","124","27","0","0","1","0","0","0","0","2","154"
"2018","November","77","37","5","10","0","4","0","0","0","4","137"
"2018","December","82","35","7","7","0","0","0","0","0","1","132"
"2019","January","69","21","23","25","0","5","0","0","0","1","144"
"2019","February","48","30","13","21","0","2","0","0","0","3","117"
"2019","March","81","24","8","4","1","1","0","0","0","1","120"
"2019","April","102","28","0","0","0","2","0","0","0","2","134"
"2019","May","138","24","0","0","0","0","1","0","0","4","167"
"2019","June","143","25","0","0","0","0","0","0","0","0","168"
"2019","July","141","13","0","0","0","0","1","0","0","2","157"
"2019","August","176","5","0","0","0","0","0","0","3","1","185"
"2019","September","126","24","0","0","0","0","0","1","0","2","153"
"2019","October","136","47","0","0","0","0","0","0","0","1","184"
"2019","November","86","43","11","15","0","3","0","0","0","1","159"
"2019","December","114","29","10","20","1","0","0","0","0","2","176"
"2020","January","76","43","18","11","0","1","0","0","0","1","150"
"2020","February","97","17","24","34","0","4","0","0","0","2","178"
"2020","March","57","9","1","1","0","0","0","0","0","0","68"
"2020","April","20","5","0","0","0","1","0","0","0","0","26"
"2020","May","48","8","0","0","0","0","0","0","0","0","56"
"2020","June","97","10","0","0","0","0","0","0","0","1","108"
"2020","July","112","4","0","0","0","0","0","0","0","0","116"
"2020","August","113","7","0","0","0","0","0","0","0","1","121"
"2020","September","93","12","0","0","0","0","0","0","0","1","106"
"2020","October","121","31","0","1","0","0","0","0","0","0","153"
"2020","November","92","12","2","2","0","1","0","0","0","0","109"
"2020","December","69","16","11","12","0","0","0","0","0","1","109"
"Total Crash Count","","4,926","1,075","223","317","8","40","2","3","6","64","6,664"
