"Crash Year","Crash Month","No Driver Distraction","Driver Distracted","Total"
"2016","January","7,970","33","8,003"
"2016","February","7,595","48","7,643"
"2016","March","7,563","61","7,624"
"2016","April","7,060","204","7,264"
"2016","May","8,081","428","8,509"
"2016","June","8,286","492","8,778"
"2016","July","8,223","513","8,736"
"2016","August","8,568","606","9,174"
"2016","September","8,452","754","9,206"
"2016","October","8,576","738","9,314"
"2016","November","8,128","677","8,805"
"2016","December","10,661","602","11,263"
"2017","January","8,119","461","8,580"
"2017","February","6,551","546","7,097"
"2017","March","8,223","610","8,833"
"2017","April","6,580","562","7,142"
"2017","May","7,859","701","8,560"
"2017","June","7,953","758","8,711"
"2017","July","7,242","660","7,902"
"2017","August","7,511","703","8,214"
"2017","September","7,657","683","8,340"
"2017","October","8,561","670","9,231"
"2017","November","7,740","531","8,271"
"2017","December","10,801","512","11,313"
"2018","January","9,075","446","9,521"
"2018","February","7,395","451","7,846"
"2018","March","6,866","588","7,454"
"2018","April","6,564","569","7,133"
"2018","May","7,599","663","8,262"
"2018","June","7,480","684","8,164"
"2018","July","7,228","681","7,909"
"2018","August","7,343","637","7,980"
"2018","September","7,415","575","7,990"
"2018","October","8,236","650","8,886"
"2018","November","8,034","511","8,545"
"2018","December","7,325","511","7,836"
"2019","January","8,871","442","9,313"
"2019","February","7,500","395","7,895"
"2019","March","6,576","466","7,042"
"2019","April","6,129","498","6,627"
"2019","May","7,082","551","7,633"
"2019","June","7,226","606","7,832"
"2019","July","7,142","601","7,743"
"2019","August","7,189","657","7,846"
"2019","September","7,336","623","7,959"
"2019","October","8,332","610","8,942"
"2019","November","8,151","492","8,643"
"2019","December","7,333","516","7,849"
"2020","January","6,923","511","7,434"
"2020","February","7,464","414","7,878"
"2020","March","3,929","341","4,270"
"2020","April","2,378","200","2,578"
"2020","May","4,137","343","4,480"
"2020","June","5,951","542","6,493"
"2020","July","6,658","576","7,234"
"2020","August","6,737","538","7,275"
"2020","September","6,558","547","7,105"
"2020","October","6,652","516","7,168"
"2020","November","5,357","390","5,747"
"2020","December","5,730","372","6,102"
"Total Crash Count","","441,861","31,266","473,127"
