"Crash Year","Crash Month","No Driver Distraction","Driver Distracted","Total"
"2016","January","20,124","46","20,170"
"2016","February","18,212","65","18,277"
"2016","March","15,754","104","15,858"
"2016","April","14,404","371","14,775"
"2016","May","14,717","559","15,276"
"2016","June","14,933","673","15,606"
"2016","July","13,653","754","14,407"
"2016","August","13,535","811","14,346"
"2016","September","14,744","1,111","15,855"
"2016","October","17,900","1,153","19,053"
"2016","November","20,510","1,031","21,541"
"2016","December","21,269","931","22,200"
"2017","January","17,620","729","18,349"
"2017","February","12,662","851","13,513"
"2017","March","15,612","981","16,593"
"2017","April","12,358","1,013","13,371"
"2017","May","15,285","1,183","16,468"
"2017","June","15,312","1,272","16,584"
"2017","July","13,794","1,141","14,935"
"2017","August","13,659","1,174","14,833"
"2017","September","14,833","1,149","15,982"
"2017","October","20,696","1,192","21,888"
"2017","November","21,117","1,053","22,170"
"2017","December","25,599","932","26,531"
"2018","January","20,529","854","21,383"
"2018","February","17,169","816","17,985"
"2018","March","15,034","889","15,923"
"2018","April","14,513","842","15,355"
"2018","May","14,929","1,116","16,045"
"2018","June","15,689","1,045","16,734"
"2018","July","13,621","1,122","14,743"
"2018","August","13,496","1,157","14,653"
"2018","September","14,540","1,062","15,602"
"2018","October","20,482","1,137","21,619"
"2018","November","23,771","965","24,736"
"2018","December","18,078","915","18,993"
"2019","January","20,293","787","21,080"
"2019","February","17,050","657","17,707"
"2019","March","15,124","804","15,928"
"2019","April","13,519","887","14,406"
"2019","May","15,232","1,004","16,236"
"2019","June","15,991","1,115","17,106"
"2019","July","14,721","1,134","15,855"
"2019","August","14,138","1,133","15,271"
"2019","September","14,815","1,095","15,910"
"2019","October","21,261","1,183","22,444"
"2019","November","24,811","888","25,699"
"2019","December","18,651","895","19,546"
"2020","January","17,406","832","18,238"
"2020","February","17,070","820","17,890"
"2020","March","9,228","546","9,774"
"2020","April","5,775","369","6,144"
"2020","May","9,431","665","10,096"
"2020","June","13,255","822","14,077"
"2020","July","12,800","983","13,783"
"2020","August","12,329","914","13,243"
"2020","September","13,195","914","14,109"
"2020","October","18,113","842","18,955"
"2020","November","17,978","641","18,619"
"2020","December","14,801","639","15,440"
"Total Crash Count","","967,140","52,768","1,019,908"
