"Crash Year","Crash Month","No Driver Distraction","Driver Distracted","Total"
"2016","January","5","0","5"
"2016","February","7","0","7"
"2016","March","2","0","2"
"2016","April","9","1","10"
"2016","May","21","1","22"
"2016","June","19","5","24"
"2016","July","24","1","25"
"2016","August","34","7","41"
"2016","September","87","0","87"
"2016","October","78","4","82"
"2016","November","81","3","84"
"2016","December","99","1","100"
"2017","January","78","1","79"
"2017","February","99","4","103"
"2017","March","89","3","92"
"2017","April","128","3","131"
"2017","May","119","6","125"
"2017","June","139","6","145"
"2017","July","127","8","135"
"2017","August","147","3","150"
"2017","September","109","6","115"
"2017","October","150","4","154"
"2017","November","121","1","122"
"2017","December","156","3","159"
"2018","January","138","3","141"
"2018","February","100","3","103"
"2018","March","96","4","100"
"2018","April","113","5","118"
"2018","May","137","2","139"
"2018","June","135","4","139"
"2018","July","120","1","121"
"2018","August","101","3","104"
"2018","September","111","2","113"
"2018","October","146","8","154"
"2018","November","133","4","137"
"2018","December","130","2","132"
"2019","January","139","5","144"
"2019","February","115","2","117"
"2019","March","115","5","120"
"2019","April","131","3","134"
"2019","May","161","6","167"
"2019","June","159","9","168"
"2019","July","154","3","157"
"2019","August","180","5","185"
"2019","September","151","2","153"
"2019","October","177","7","184"
"2019","November","151","8","159"
"2019","December","174","2","176"
"2020","January","145","5","150"
"2020","February","174","4","178"
"2020","March","65","3","68"
"2020","April","26","0","26"
"2020","May","53","3","56"
"2020","June","100","8","108"
"2020","July","111","5","116"
"2020","August","115","6","121"
"2020","September","104","2","106"
"2020","October","151","2","153"
"2020","November","104","5","109"
"2020","December","103","6","109"
"Total Crash Count","","6,446","218","6,664"
