"Crash Year","Crash Month","No Drinking Involved","Drinking Involved","Total"
"2016","January","7,803","205","8,008"
"2016","February","7,462","188","7,650"
"2016","March","7,420","206","7,626"
"2016","April","7,074","200","7,274"
"2016","May","8,285","246","8,531"
"2016","June","8,577","225","8,802"
"2016","July","8,496","265","8,761"
"2016","August","8,962","253","9,215"
"2016","September","9,055","238","9,293"
"2016","October","9,115","281","9,396"
"2016","November","8,634","255","8,889"
"2016","December","11,080","283","11,363"
"2017","January","8,411","248","8,659"
"2017","February","6,972","228","7,200"
"2017","March","8,643","282","8,925"
"2017","April","7,019","254","7,273"
"2017","May","8,455","230","8,685"
"2017","June","8,640","216","8,856"
"2017","July","7,796","241","8,037"
"2017","August","8,109","255","8,364"
"2017","September","8,193","262","8,455"
"2017","October","9,105","280","9,385"
"2017","November","8,145","248","8,393"
"2017","December","11,229","243","11,472"
"2018","January","9,452","210","9,662"
"2018","February","7,751","198","7,949"
"2018","March","7,352","202","7,554"
"2018","April","7,071","180","7,251"
"2018","May","8,184","217","8,401"
"2018","June","8,124","179","8,303"
"2018","July","7,775","255","8,030"
"2018","August","7,834","250","8,084"
"2018","September","7,861","242","8,103"
"2018","October","8,810","230","9,040"
"2018","November","8,447","235","8,682"
"2018","December","7,705","263","7,968"
"2019","January","9,246","211","9,457"
"2019","February","7,831","181","8,012"
"2019","March","6,935","227","7,162"
"2019","April","6,543","218","6,761"
"2019","May","7,601","199","7,800"
"2019","June","7,767","233","8,000"
"2019","July","7,696","204","7,900"
"2019","August","7,778","253","8,031"
"2019","September","7,885","227","8,112"
"2019","October","8,887","239","9,126"
"2019","November","8,577","225","8,802"
"2019","December","7,818","207","8,025"
"2020","January","7,366","218","7,584"
"2020","February","7,857","199","8,056"
"2020","March","4,161","177","4,338"
"2020","April","2,506","98","2,604"
"2020","May","4,365","171","4,536"
"2020","June","6,378","223","6,601"
"2020","July","7,120","230","7,350"
"2020","August","7,164","232","7,396"
"2020","September","6,974","237","7,211"
"2020","October","7,092","229","7,321"
"2020","November","5,638","218","5,856"
"2020","December","6,064","147","6,211"
"Total Crash Count","","466,295","13,496","479,791"
