"Crash Year","Crash Month","No Drinking Involved","Drinking Involved","Total"
"2016","January","5","0","5"
"2016","February","7","0","7"
"2016","March","2","0","2"
"2016","April","10","0","10"
"2016","May","20","2","22"
"2016","June","22","2","24"
"2016","July","21","4","25"
"2016","August","41","0","41"
"2016","September","86","1","87"
"2016","October","80","2","82"
"2016","November","83","1","84"
"2016","December","99","1","100"
"2017","January","77","2","79"
"2017","February","101","2","103"
"2017","March","89","3","92"
"2017","April","126","5","131"
"2017","May","124","1","125"
"2017","June","141","4","145"
"2017","July","131","4","135"
"2017","August","146","4","150"
"2017","September","109","6","115"
"2017","October","151","3","154"
"2017","November","117","5","122"
"2017","December","155","4","159"
"2018","January","138","3","141"
"2018","February","102","1","103"
"2018","March","97","3","100"
"2018","April","116","2","118"
"2018","May","137","2","139"
"2018","June","138","1","139"
"2018","July","117","4","121"
"2018","August","99","5","104"
"2018","September","109","4","113"
"2018","October","151","3","154"
"2018","November","135","2","137"
"2018","December","124","8","132"
"2019","January","142","2","144"
"2019","February","114","3","117"
"2019","March","117","3","120"
"2019","April","131","3","134"
"2019","May","162","5","167"
"2019","June","166","2","168"
"2019","July","154","3","157"
"2019","August","180","5","185"
"2019","September","148","5","153"
"2019","October","181","3","184"
"2019","November","153","6","159"
"2019","December","171","5","176"
"2020","January","149","1","150"
"2020","February","178","0","178"
"2020","March","65","3","68"
"2020","April","23","3","26"
"2020","May","53","3","56"
"2020","June","101","7","108"
"2020","July","112","4","116"
"2020","August","120","1","121"
"2020","September","99","7","106"
"2020","October","148","5","153"
"2020","November","105","4","109"
"2020","December","106","3","109"
"Total Crash Count","","6,484","180","6,664"
