"Crash Year","Crash Month","Daylight","Dawn","Dusk","Dark - Lighted","Dark - Unlighted","Other","Unknown","Total"
"2016","January","2","0","0","3","0","0","0","5"
"2016","February","5","1","0","1","0","0","0","7"
"2016","March","1","0","1","0","0","0","0","2"
"2016","April","8","0","0","0","2","0","0","10"
"2016","May","18","0","0","2","2","0","0","22"
"2016","June","20","2","1","1","0","0","0","24"
"2016","July","22","0","0","2","1","0","0","25"
"2016","August","39","0","0","1","1","0","0","41"
"2016","September","73","2","2","4","5","0","1","87"
"2016","October","60","4","1","10","5","0","2","82"
"2016","November","53","0","2","21","8","0","0","84"
"2016","December","67","1","3","25","4","0","0","100"
"2017","January","42","4","2","24","6","0","1","79"
"2017","February","73","3","4","19","4","0","0","103"
"2017","March","69","1","4","12","6","0","0","92"
"2017","April","107","4","1","13","5","0","1","131"
"2017","May","115","1","0","7","1","0","1","125"
"2017","June","126","0","3","14","1","0","1","145"
"2017","July","118","0","1","9","4","0","3","135"
"2017","August","126","1","1","19","3","0","0","150"
"2017","September","91","4","1","15","3","0","1","115"
"2017","October","107","6","6","21","12","0","2","154"
"2017","November","74","2","6","33","7","0","0","122"
"2017","December","93","1","0","48","13","0","4","159"
"2018","January","89","6","5","35","5","0","1","141"
"2018","February","63","2","2","31","5","0","0","103"
"2018","March","75","3","2","12","8","0","0","100"
"2018","April","98","2","4","12","2","0","0","118"
"2018","May","129","0","0","9","1","0","0","139"
"2018","June","125","1","2","9","1","0","1","139"
"2018","July","104","2","2","8","3","0","2","121"
"2018","August","85","0","4","12","2","0","1","104"
"2018","September","87","4","1","16","4","0","1","113"
"2018","October","112","4","5","25","8","0","0","154"
"2018","November","80","3","3","36","12","1","2","137"
"2018","December","75","4","8","32","12","0","1","132"
"2019","January","94","3","3","39","4","0","1","144"
"2019","February","86","2","6","17","5","0","1","117"
"2019","March","96","2","1","16","4","0","1","120"
"2019","April","111","5","1","14","1","0","2","134"
"2019","May","152","0","2","10","1","0","2","167"
"2019","June","151","1","3","10","3","0","0","168"
"2019","July","136","2","3","12","2","0","2","157"
"2019","August","163","2","1","15","3","0","1","185"
"2019","September","123","4","5","14","6","0","1","153"
"2019","October","140","4","3","27","9","0","1","184"
"2019","November","100","2","6","42","9","0","0","159"
"2019","December","103","6","5","47","14","0","1","176"
"2020","January","85","3","5","48","8","0","1","150"
"2020","February","134","4","2","24","13","0","1","178"
"2020","March","50","2","3","9","4","0","0","68"
"2020","April","18","1","0","6","1","0","0","26"
"2020","May","46","0","0","8","2","0","0","56"
"2020","June","87","1","5","8","6","0","1","108"
"2020","July","105","3","1","6","1","0","0","116"
"2020","August","105","2","0","12","2","0","0","121"
"2020","September","82","3","4","16","1","0","0","106"
"2020","October","104","1","6","32","10","0","0","153"
"2020","November","64","4","2","30","9","0","0","109"
"2020","December","60","0","3","38","7","0","1","109"
"Total Crash Count","","5,026","125","147","1,041","281","1","43","6,664"
