"Crash Year","Crash Month","On the Road","In the Median","On the Shoulder","Outside of the Shoulder/Curb-Line","In the Gore (area between ramp and freeway convergence)","On-Street Parking","Off the Roadway","On the Sidewalk","In the Bicycle Lane","Other/Unknown","Uncoded & Errors","Total"
"2016","January","7,371","10","187","354","12","2","6","1","0","59","1","8,003"
"2016","February","7,113","12","152","307","13","4","1","1","0","35","5","7,643"
"2016","March","7,180","13","102","261","14","6","1","3","0","43","1","7,624"
"2016","April","6,828","27","99","240","11","18","1","6","1","30","3","7,264"
"2016","May","8,049","40","124","207","7","35","1","9","4","30","3","8,509"
"2016","June","8,334","28","114","215","11","33","1","9","1","27","5","8,778"
"2016","July","8,246","29","140","236","4","34","3","13","1","28","2","8,736"
"2016","August","8,693","32","117","249","8","30","0","13","1","27","4","9,174"
"2016","September","8,713","35","122","240","13","38","6","19","1","18","1","9,206"
"2016","October","8,803","42","112","255","11","34","2","15","1","18","21","9,314"
"2016","November","8,260","23","118","301","14","41","2","16","0","24","6","8,805"
"2016","December","10,295","46","265","551","13","48","5","18","4","16","2","11,263"
"2017","January","7,717","42","240","489","12","40","3","11","1","24","1","8,580"
"2017","February","6,654","21","107","254","4","28","1","7","2","18","1","7,097"
"2017","March","8,243","41","136","334","8","25","1","18","6","20","1","8,833"
"2017","April","6,755","25","84","208","9","29","0","15","0","14","3","7,142"
"2017","May","8,186","32","80","184","8","36","0","10","3","18","3","8,560"
"2017","June","8,310","25","95","195","7","41","0","18","1","15","4","8,711"
"2017","July","7,502","22","109","177","6","38","1","17","2","27","1","7,902"
"2017","August","7,830","23","89","205","5","32","0","19","1","9","1","8,214"
"2017","September","7,945","13","103","202","4","34","0","15","5","19","0","8,340"
"2017","October","8,817","36","84","226","4","32","1","14","2","15","0","9,231"
"2017","November","7,824","35","107","235","10","26","0","15","4","13","2","8,271"
"2017","December","10,316","31","283","593","13","41","1","13","0","21","1","11,313"
"2018","January","8,771","34","183","461","14","38","0","9","0","10","1","9,521"
"2018","February","7,325","26","152","286","5","37","0","5","0","9","1","7,846"
"2018","March","7,038","25","96","235","4","28","0","10","2","16","0","7,454"
"2018","April","6,763","23","103","188","3","29","0","13","1","9","1","7,133"
"2018","May","7,905","33","81","177","8","33","0","14","2","9","0","8,262"
"2018","June","7,820","19","70","187","4","33","1","15","3","12","0","8,164"
"2018","July","7,537","19","101","175","6","34","0","14","2","19","2","7,909"
"2018","August","7,594","21","107","186","3","31","0","14","1","23","0","7,980"
"2018","September","7,606","18","93","190","3","32","2","20","3","23","0","7,990"
"2018","October","8,496","19","81","204","12","31","2","17","5","17","2","8,886"
"2018","November","8,049","15","130","289","7","29","0","7","1","18","0","8,545"
"2018","December","7,340","20","138","278","2","25","0","13","1","19","0","7,836"
"2019","January","8,515","27","229","464","12","32","0","16","2","15","1","9,313"
"2019","February","7,360","32","152","285","3","33","0","11","1","17","1","7,895"
"2019","March","6,657","19","103","197","4","36","0","8","1","16","1","7,042"
"2019","April","6,329","10","68","176","1","22","0","12","0","9","0","6,627"
"2019","May","7,352","23","64","145","3","24","0","12","1","9","0","7,633"
"2019","June","7,515","19","80","150","2","32","0","18","1","14","1","7,832"
"2019","July","7,415","18","80","165","3","34","0","13","0","15","0","7,743"
"2019","August","7,517","24","68","174","5","24","0","18","2","14","0","7,846"
"2019","September","7,642","20","72","163","4","21","0","13","6","18","0","7,959"
"2019","October","8,602","18","87","171","6","24","0","10","3","21","0","8,942"
"2019","November","8,168","11","124","297","3","24","1","5","1","9","0","8,643"
"2019","December","7,428","14","117","227","5","25","0","16","4","13","0","7,849"
"2020","January","6,975","20","102","264","10","39","0","5","2","17","0","7,434"
"2020","February","7,344","19","141","328","3","17","0","12","0","14","0","7,878"
"2020","March","4,054","6","61","126","0","14","0","3","0","6","0","4,270"
"2020","April","2,379","14","43","115","2","12","0","9","0","4","0","2,578"
"2020","May","4,250","9","48","133","3","14","0","8","0","15","0","4,480"
"2020","June","6,213","16","55","144","8","31","0","12","1","13","0","6,493"
"2020","July","6,919","22","69","158","4","30","0","18","4","10","0","7,234"
"2020","August","6,927","14","84","187","3","23","0","9","6","22","0","7,275"
"2020","September","6,780","19","73","174","6","23","0","15","2","13","0","7,105"
"2020","October","6,834","13","80","191","2","26","0","10","2","10","0","7,168"
"2020","November","5,454","11","76","158","2","25","0","13","1","7","0","5,747"
"2020","December","5,699","8","93","252","9","21","0","9","0","11","0","6,102"
"Total Crash Count","","446,556","1,361","6,673","14,418","395","1,711","43","721","102","1,064","83","473,127"
