"Crash Year","Crash Month","On the Road","In the Median","On the Shoulder","Outside of the Shoulder/Curb-Line","In the Gore (area between ramp and freeway convergence)","On-Street Parking","Off the Roadway","On the Sidewalk","In the Bicycle Lane","Other/Unknown","Uncoded & Errors","Total"
"2016","January","7,375","10","188","354","12","2","6","1","0","59","1","8,008"
"2016","February","7,120","12","152","307","13","4","1","1","0","35","5","7,650"
"2016","March","7,181","14","102","261","14","6","1","3","0","43","1","7,626"
"2016","April","6,838","27","99","240","11","18","1","6","1","30","3","7,274"
"2016","May","8,068","40","124","210","7","35","1","9","4","30","3","8,531"
"2016","June","8,357","28","114","215","11","33","2","9","1","27","5","8,802"
"2016","July","8,269","29","140","238","4","34","3","13","1","28","2","8,761"
"2016","August","8,732","32","117","251","8","30","0","13","1","27","4","9,215"
"2016","September","8,797","36","123","241","13","38","6","19","1","18","1","9,293"
"2016","October","8,881","42","114","256","11","35","2","15","1","18","21","9,396"
"2016","November","8,340","23","119","304","14","41","2","16","0","24","6","8,889"
"2016","December","10,385","49","267","556","13","48","5","18","4","16","2","11,363"
"2017","January","7,784","45","243","494","13","40","3","11","1","24","1","8,659"
"2017","February","6,750","22","111","256","4","28","1","7","2","18","1","7,200"
"2017","March","8,329","42","139","336","8","25","1","18","6","20","1","8,925"
"2017","April","6,879","25","86","213","9","29","0","15","0","14","3","7,273"
"2017","May","8,306","32","81","186","8","37","0","10","3","19","3","8,685"
"2017","June","8,448","27","99","196","7","41","0","18","1","15","4","8,856"
"2017","July","7,628","23","110","183","6","38","2","17","2","27","1","8,037"
"2017","August","7,973","25","89","210","5","32","0","19","1","9","1","8,364"
"2017","September","8,053","13","105","206","4","35","0","15","5","19","0","8,455"
"2017","October","8,965","36","86","230","4","32","1","14","2","15","0","9,385"
"2017","November","7,938","37","109","239","10","26","0","15","4","13","2","8,393"
"2017","December","10,451","38","293","600","13","41","1","13","0","21","1","11,472"
"2018","January","8,896","37","190","467","14","38","0","9","0","10","1","9,662"
"2018","February","7,420","28","155","289","5","37","0","5","0","9","1","7,949"
"2018","March","7,127","26","99","242","4","28","0","10","2","16","0","7,554"
"2018","April","6,871","24","104","196","3","29","0","13","1","9","1","7,251"
"2018","May","8,041","33","81","180","8","33","0","14","2","9","0","8,401"
"2018","June","7,953","21","73","188","4","33","1","15","3","12","0","8,303"
"2018","July","7,654","19","103","177","6","34","0","14","2","19","2","8,030"
"2018","August","7,692","24","109","187","3","31","0","14","1","23","0","8,084"
"2018","September","7,715","19","94","192","3","32","2","20","3","23","0","8,103"
"2018","October","8,644","19","84","206","12","31","2","17","5","18","2","9,040"
"2018","November","8,175","17","134","294","7","29","0","7","1","18","0","8,682"
"2018","December","7,463","21","139","285","2","25","0","13","1","19","0","7,968"
"2019","January","8,645","29","233","472","12","32","0","16","2","15","1","9,457"
"2019","February","7,468","34","154","289","3","34","0","11","1","17","1","8,012"
"2019","March","6,768","21","104","201","5","36","0","8","1","17","1","7,162"
"2019","April","6,457","11","71","178","1","22","0","12","0","9","0","6,761"
"2019","May","7,517","23","64","147","3","24","0","12","1","9","0","7,800"
"2019","June","7,677","22","81","151","2","32","0","19","1","14","1","8,000"
"2019","July","7,564","19","82","170","3","34","0","13","0","15","0","7,900"
"2019","August","7,697","25","69","177","5","24","0","18","2","14","0","8,031"
"2019","September","7,791","20","73","165","4","21","0","13","6","19","0","8,112"
"2019","October","8,779","19","88","176","6","24","0","10","3","21","0","9,126"
"2019","November","8,312","14","127","305","3","24","1","6","1","9","0","8,802"
"2019","December","7,592","17","118","234","5","25","0","16","4","14","0","8,025"
"2020","January","7,109","22","106","274","10","39","0","5","2","17","0","7,584"
"2020","February","7,509","20","144","337","3","17","0","12","0","14","0","8,056"
"2020","March","4,117","8","62","128","0","14","0","3","0","6","0","4,338"
"2020","April","2,402","14","45","116","2","12","0","9","0","4","0","2,604"
"2020","May","4,302","12","48","134","3","14","0","8","0","15","0","4,536"
"2020","June","6,314","18","56","147","8","31","0","12","1","14","0","6,601"
"2020","July","7,025","27","71","161","4","30","0","18","4","10","0","7,350"
"2020","August","7,042","14","86","191","3","23","0","9","6","22","0","7,396"
"2020","September","6,877","20","73","181","6","23","0","15","2","14","0","7,211"
"2020","October","6,980","14","80","197","2","26","0","10","2","10","0","7,321"
"2020","November","5,557","13","77","161","2","25","0","13","1","7","0","5,856"
"2020","December","5,798","8","96","259","9","21","0","9","0","11","0","6,211"
"Total Crash Count","","452,797","1,439","6,783","14,636","397","1,715","45","723","102","1,071","83","479,791"
