"County","Total"
"Oakland","2,354"
"Macomb","1,117"
"Washtenaw","890"
"Kalamazoo","435"
"Kent","270"
"Wayne","215"
"Marquette","209"
"Livingston","175"
"Grand Traverse","152"
"Ingham","133"
"Genesee","100"
"Saginaw","57"
"Ottawa","52"
"Van Buren","42"
"Chippewa","37"
"Midland","34"
"Jackson","29"
"Berrien","28"
"Lenawee","28"
"Isabella","27"
"Wexford","25"
"St. Clair","24"
"Lapeer","23"
"Cass","21"
"Monroe","20"
"Muskegon","19"
"Mecosta","16"
"Allegan","14"
"Calhoun","12"
"Eaton","12"
"Bay","10"
"Gratiot","9"
"Delta","8"
"Oceana","6"
"Otsego","6"
"St. Joseph","6"
"Tuscola","5"
"Clare","4"
"Crawford","4"
"Houghton","3"
"Montcalm","3"
"Shiawassee","3"
"Alcona","2"
"Antrim","2"
"Iosco","2"
"Iron","2"
"Manistee","2"
"Menominee","2"
"Alger","1"
"Alpena","1"
"Arenac","1"
"Branch","1"
"Clinton","1"
"Dickinson","1"
"Gladwin","1"
"Hillsdale","1"
"Ionia","1"
"Lake","1"
"Ogemaw","1"
"Ontonagon","1"
"Osceola","1"
"Presque Isle","1"
"Schoolcraft","1"
"Total Crash Count","6,664"
