"Crash Year","Crash Month","Clear","Cloudy","Fog","Rain","Snow","Severe Crosswinds","Sleet/Hail","Blowing Snow","Blowing Sand, Soil, Dirt","Smoke","Unknown","Uncoded & Errors","Total"
"2016","January","7,807","5,388","86","1,142","5,046","212","46","60","2","0","380","1","20,170"
"2016","February","7,650","4,249","54","463","4,985","240","257","92","1","0","282","4","18,277"
"2016","March","7,689","3,531","156","1,636","2,251","88","192","30","2","0","281","2","15,858"
"2016","April","8,011","3,149","93","1,331","1,712","39","200","30","1","0","209","0","14,775"
"2016","May","10,992","2,795","40","1,201","16","5","8","0","0","0","216","3","15,276"
"2016","June","12,261","2,418","26","644","2","9","1","2","0","0","241","2","15,606"
"2016","July","10,773","2,467","38","891","2","13","3","0","0","2","218","0","14,407"
"2016","August","10,380","2,424","92","1,213","1","3","0","0","1","0","231","1","14,346"
"2016","September","10,334","2,848","136","2,288","2","7","0","3","0","4","232","1","15,855"
"2016","October","11,706","4,243","365","2,262","64","15","11","1","3","1","292","90","19,053"
"2016","November","13,773","3,841","491","2,301","521","81","111","91","1","0","327","3","21,541"
"2016","December","8,024","6,215","42","847","5,710","237","75","711","1","7","299","32","22,200"
"2017","January","4,917","4,718","689","2,423","4,254","93","441","515","3","1","294","1","18,349"
"2017","February","7,722","3,134","154","1,014","1,080","19","48","122","2","2","215","1","13,513"
"2017","March","7,920","3,360","178","1,479","2,693","202","216","288","8","1","247","1","16,593"
"2017","April","8,052","2,946","43","1,801","213","12","57","33","1","1","212","0","13,371"
"2017","May","10,688","3,331","38","2,140","1","12","2","0","5","2","248","1","16,468"
"2017","June","12,370","2,885","30","1,026","0","10","0","0","4","3","255","1","16,584"
"2017","July","11,535","2,305","81","756","1","10","0","1","1","1","244","0","14,935"
"2017","August","10,229","2,770","133","1,460","1","2","0","0","2","2","233","1","14,833"
"2017","September","12,440","2,263","258","789","4","1","1","0","0","2","224","0","15,982"
"2017","October","12,414","4,515","91","4,354","126","23","40","2","1","3","319","0","21,888"
"2017","November","11,985","5,526","150","3,297","736","9","44","67","0","1","354","1","22,170"
"2017","December","10,157","5,610","63","371","9,031","114","22","813","5","6","338","1","26,531"
"2018","January","9,609","5,007","290","937","4,649","29","96","454","4","5","303","0","21,383"
"2018","February","7,653","3,665","216","1,006","4,818","26","42","309","0","2","248","0","17,985"
"2018","March","9,217","2,830","22","749","2,644","5","29","208","0","2","217","0","15,923"
"2018","April","8,486","2,943","21","1,293","1,630","28","560","187","1","2","199","5","15,355"
"2018","May","11,448","2,577","74","1,659","4","72","0","0","1","1","209","0","16,045"
"2018","June","12,109","3,067","58","1,243","5","1","1","1","3","2","244","0","16,734"
"2018","July","11,873","1,815","41","801","2","9","1","0","0","3","197","1","14,743"
"2018","August","10,264","2,696","145","1,336","0","15","0","0","0","3","194","0","14,653"
"2018","September","10,042","3,168","223","1,911","3","18","0","0","0","2","235","0","15,602"
"2018","October","12,143","5,399","223","3,373","55","36","28","4","2","1","355","0","21,619"
"2018","November","9,990","7,439","97","2,032","4,485","11","98","244","2","3","335","0","24,736"
"2018","December","8,922","5,253","352","2,057","1,906","7","102","80","0","3","311","0","18,993"
"2019","January","7,932","4,378","78","1,582","5,300","50","530","949","1","4","276","0","21,080"
"2019","February","7,046","3,981","201","1,143","3,816","205","321","710","1","1","282","0","17,707"
"2019","March","9,491","3,200","85","1,304","1,375","25","53","128","0","3","264","0","15,928"
"2019","April","8,196","3,142","77","1,851","704","17","178","53","0","2","186","0","14,406"
"2019","May","9,442","4,452","51","2,026","14","8","2","1","1","4","235","0","16,236"
"2019","June","11,880","2,951","65","1,946","1","8","3","0","0","1","251","0","17,106"
"2019","July","12,362","2,139","60","992","2","25","1","3","0","2","269","0","15,855"
"2019","August","12,088","2,029","122","799","1","6","0","0","1","0","225","0","15,271"
"2019","September","10,020","3,485","124","1,965","5","11","0","2","0","1","297","0","15,910"
"2019","October","12,630","4,411","100","4,653","173","19","42","17","0","3","396","0","22,444"
"2019","November","12,522","6,646","139","1,433","4,204","48","63","241","1","5","397","0","25,699"
"2019","December","10,129","5,000","222","968","2,551","13","66","223","1","3","370","0","19,546"
"2020","January","8,035","5,066","191","1,571","2,495","19","303","199","2","1","356","0","18,238"
"2020","February","8,277","3,477","15","144","5,152","44","20","464","3","1","293","0","17,890"
"2020","March","6,120","2,335","47","740","320","15","9","21","0","1","166","0","9,774"
"2020","April","3,783","1,274","34","571","313","9","31","13","0","0","116","0","6,144"
"2020","May","7,120","1,641","31","1,119","22","2","2","2","0","1","156","0","10,096"
"2020","June","11,932","1,275","16","576","0","41","0","0","3","2","232","0","14,077"
"2020","July","11,563","1,303","26","672","0","6","0","1","2","2","208","0","13,783"
"2020","August","10,526","1,501","28","987","0","6","1","3","1","0","190","0","13,243"
"2020","September","10,369","2,245","68","1,210","1","12","4","1","0","0","199","0","14,109"
"2020","October","11,876","4,359","137","2,157","94","8","22","5","1","0","296","0","18,955"
"2020","November","12,650","3,108","56","1,226","1,060","111","76","82","2","1","247","0","18,619"
"2020","December","7,616","3,572","75","832","2,868","9","65","175","0","0","228","0","15,440"
"Total Crash Count","","595,190","209,760","7,337","87,993","89,124","2,430","4,524","7,641","77","106","15,573","153","1,019,908"
